time,snowfraction,windspeed,temperature,precipitation_probability,convective_precipitation,rainspot,pictocode,felttemperature,precipitation,isdaylight,uvindex,relativehumidity,sealevelpressure,winddirection
2025-05-12 00:00:00,0.0,1.15,17.78,0,0.0,0000000000000000000000000000000000000000000000000,1,18.14,0.0,0,0,76,1011.52,275
2025-05-12 01:00:00,0.0,1.13,17.72,0,0.0,0000000000000000000000000000000000000000000000000,1,17.92,0.0,0,0,74,1011.75,302
2025-05-12 02:00:00,0.0,0.92,17.53,0,0.0,0000000000000000000000000000000000000000000000000,1,17.73,0.0,0,0,73,1011.99,318
2025-05-12 03:00:00,0.0,1.07,17.3,0,0.0,0000000000000000000000000000000000000000000000000,1,17.28,0.0,0,0,72,1012.1,348
2025-05-12 04:00:00,0.0,1.11,16.8,0,0.0,0000000000000000000000000000000000000000000000000,1,16.77,0.0,0,0,75,1012.2,43
2025-05-12 05:00:00,0.0,1.07,16.24,0,0.0,0000000000000000000000000000000000000000000000000,1,16.16,0.0,0,0,76,1012.31,15
2025-05-12 06:00:00,0.0,1.06,15.56,0,0.0,0000000000000000000000000000000000000000000000000,1,15.34,0.0,0,0,77,1012.74,358
2025-05-12 07:00:00,0.0,1.12,16.06,0,0.0,0000000000000000000000000000000000000000000000000,1,15.63,0.0,1,0,72,1013.17,350
2025-05-12 08:00:00,0.0,1.03,16.92,0,0.0,0000000000000000000000000000000000000000000000000,1,16.51,0.0,1,0,68,1013.6,331
2025-05-12 09:00:00,0.0,0.92,18.13,0,0.0,0000000000000000000000000000000000000000000000000,1,17.91,0.0,1,0,64,1013.9,16
2025-05-12 10:00:00,0.0,1.03,18.88,0,0.0,0000000000000000000000000000000000000000000000000,1,18.63,0.0,1,1,62,1014.19,147
2025-05-12 11:00:00,0.0,1.35,19.82,0,0.0,0000000000000000000000000000000000000000000000000,4,20.04,0.0,1,3,59,1014.49,150
2025-05-12 12:00:00,0.0,1.73,20.96,0,0.0,0000000000000000000000000000000000000000000000000,7,21.66,0.0,1,4,55,1014.27,154
2025-05-12 13:00:00,0.0,2.23,20.12,0,0.0,0000000000000000000000000000000000000000000911190,10,20.43,0.0,1,5,58,1014.06,156
2025-05-12 14:00:00,0.0,2.55,19.94,6,0.0,0000000000000000000000000000000000000000000011221,4,19.01,0.0,1,6,58,1013.84,175
2025-05-12 15:00:00,0.0,2.67,19.59,0,0.0,0000000000000000000009000000110000019000001909900,11,20.22,0.0,1,6,59,1013.59,166
2025-05-12 16:00:00,0.0,2.6,18.89,0,0.0,0000000000000000000000000000000000000000001100000,12,18.93,0.0,1,6,61,1013.34,165
2025-05-12 17:00:00,0.0,2.45,18.64,0,0.0,1900000990000090000000000000000000000000000000000,12,17.42,0.0,1,4,62,1013.09,166
2025-05-12 18:00:00,0.0,2.3,18.31,0,0.0,0000000000000000000000000000000000000000000000000,12,17.17,0.0,1,3,64,1012.92,166
2025-05-12 19:00:00,0.0,2.12,17.79,0,0.0,0000000000000000000000000000000000000000000000000,11,16.93,0.0,1,2,68,1012.75,163
2025-05-12 20:00:00,0.0,1.87,17.21,0,0.0,0000000000000000000000000000000000000000000000000,10,16.62,0.0,1,1,72,1012.58,174
2025-05-12 21:00:00,0.0,1.41,16.79,0,0.0,0000000000000000000000000000000000000000000000000,10,16.61,0.0,1,0,76,1013.0,175
2025-05-12 22:00:00,0.0,0.99,16.55,0,0.0,0000000000000000000000000000000000000000000000000,4,16.76,0.0,0,0,78,1013.42,191
2025-05-12 23:00:00,0.0,0.68,16.35,0,0.0,0000000000000000000000000000000000000000000000000,5,16.85,0.0,0,0,81,1013.84,289
2025-05-13 00:00:00,0.0,0.68,16.06,0,0.0,0000000000000000000000000000000000000000000000000,5,16.55,0.0,0,0,82,1013.87,314
2025-05-13 01:00:00,0.0,0.86,15.62,0,0.0,0000000000000000000000000000000000000000000000000,6,15.9,0.0,0,0,83,1013.89,330
2025-05-13 02:00:00,0.0,0.98,15.19,0,0.0,0000000000000000000000000000000000000000000000000,6,15.3,0.0,0,0,84,1013.92,329
2025-05-13 03:00:00,0.0,1.04,14.82,0,0.0,0000000000000000000000000000000000000000000000000,6,14.81,0.0,0,0,84,1013.82,328
2025-05-13 04:00:00,0.0,1.11,14.53,0,0.0,0000000000000000000000000000000000000000000000000,6,14.36,0.0,0,0,84,1013.71,324
2025-05-13 05:00:00,0.0,1.15,14.32,0,0.0,0000000000000000000000000000000000000000000000000,5,14.01,0.0,0,0,83,1013.61,319
2025-05-13 06:00:00,0.0,1.18,14.52,0,0.0,0000000000000000000000000000000000000000000000000,5,14.13,0.0,0,0,81,1013.75,318
2025-05-13 07:00:00,0.0,1.16,15.24,0,0.0,0000000000000000000000000000000000000000000000000,5,14.84,0.0,1,0,77,1013.9,316
2025-05-13 08:00:00,0.0,1.06,16.81,0,0.0,0000000000000000000000000000000000000000000000000,1,16.49,0.0,1,0,70,1014.04,314
2025-05-13 09:00:00,0.0,0.77,18.7,0,0.0,0000000000000000000000000000000000000000000000000,4,18.6,0.0,1,0,62,1014.2,317
2025-05-13 10:00:00,0.0,0.84,20.63,0,0.0,0000000000000000000000000000000000000000000000000,4,20.41,0.0,1,1,54,1014.36,192
2025-05-13 11:00:00,0.0,1.14,21.78,0,0.0,0000000000000000000000000000000000000000000000000,7,21.76,0.0,1,3,51,1014.52,168
2025-05-13 12:00:00,0.0,1.66,22.36,0,0.0,0000000000000000000000000000000000000000000000000,7,22.14,0.0,1,4,51,1014.31,169
2025-05-13 13:00:00,0.0,2.22,22.4,6,0.0,0000000000000000000000000000000000000000000000000,4,22.79,0.0,1,6,53,1014.1,171
2025-05-13 14:00:00,0.0,2.52,22.39,1,0.0,0000000000000000000000000000000000000000000000000,4,23.42,0.0,1,7,54,1013.89,171
2025-05-13 15:00:00,0.0,2.59,22.16,1,0.0,0000000000000000000000000000000000000000000000000,4,23.23,0.0,1,7,56,1013.64,167
2025-05-13 16:00:00,0.0,2.53,21.86,1,0.0,0000000000000000000000000000000000000000000000000,5,22.75,0.0,1,6,59,1013.38,161
2025-05-13 17:00:00,0.0,2.36,21.39,1,0.0,0000000000000000000000000000000000000000000000000,5,21.7,0.0,1,4,62,1013.13,152
2025-05-13 18:00:00,0.0,2.17,20.68,1,0.0,0000000000000000000000000000000000000000000000000,5,20.46,0.0,1,3,65,1013.22,145
2025-05-13 19:00:00,0.0,1.84,19.79,0,0.0,0000000000000000000000000000000000000000000000000,6,19.81,0.0,1,2,69,1013.31,115
2025-05-13 20:00:00,0.0,1.47,18.79,0,0.0,0000000000000000000000000000000000000000000000000,6,19.08,0.0,1,1,74,1013.4,102
2025-05-13 21:00:00,0.0,1.13,17.95,0,0.0,0000000000000000000000000000000000000000000000000,6,18.51,0.0,1,0,78,1013.75,114
2025-05-13 22:00:00,0.0,0.9,17.3,0,0.0,0000000000000000000000000000000000000000000000000,9,18.09,0.0,0,0,82,1014.1,89
2025-05-13 23:00:00,0.0,0.73,16.88,0,0.0,0000000000000000000000000000000000000000000000000,12,17.81,0.0,0,0,85,1014.45,60
2025-05-14 00:00:00,0.0,0.79,16.65,0,0.0,0000000000000000000000000000000000000000000000000,12,17.53,0.0,0,0,86,1014.39,42
2025-05-14 01:00:00,0.0,0.93,16.33,0,0.0,0000000000000000000000000000000000000000000000000,9,17.1,0.0,0,0,87,1014.32,16
2025-05-14 02:00:00,0.0,1.05,16.0,0,0.0,0000000000000000000000000000000000000000000000000,9,16.63,0.0,0,0,88,1014.26,7
2025-05-14 03:00:00,0.0,1.13,15.62,0,0.0,0000000000000000000000000000000000000000000000000,9,16.07,0.0,0,0,89,1014.22,357
2025-05-14 04:00:00,0.0,1.16,15.33,0,0.0,0000000000000000000000000000000000000000000000000,8,15.58,0.0,0,0,87,1014.17,352
2025-05-14 05:00:00,0.0,1.16,15.15,0,0.0,0000000000000000000000000000000000000000000000000,8,15.29,0.0,0,0,86,1014.13,346
2025-05-14 06:00:00,0.0,1.2,15.38,0,0.0,0000000000000000000000000000000000000000000000000,8,15.47,0.0,0,0,85,1014.37,338
2025-05-14 07:00:00,0.0,1.24,16.14,0,0.0,0000000000000000000000000000000000000000000000000,8,16.22,0.0,1,0,81,1014.62,346
2025-05-14 08:00:00,0.0,1.31,17.45,0,0.0,0000000000000000000000000000000000000000000000000,8,17.48,0.0,1,0,75,1014.86,357
2025-05-14 09:00:00,0.0,1.54,18.96,0,0.0,0000000000000000000000000000000000000000000000000,8,18.78,0.0,1,0,67,1014.98,25
2025-05-14 10:00:00,0.0,1.68,20.48,0,0.0,0000000000000000000000000000000000000000000000000,8,20.18,0.0,1,1,61,1015.1,65
2025-05-14 11:00:00,0.0,1.9,21.47,0,0.0,0000000000000000000000000000000000000000000000000,5,20.93,0.0,1,2,56,1015.22,71
2025-05-14 12:00:00,0.0,2.28,22.0,0,0.0,0000000000000000000000000000000000000000000000000,5,21.91,0.0,1,4,55,1014.95,88
2025-05-14 13:00:00,0.0,2.76,21.97,2,0.0,0000000000000000000000000000000000000000000000000,6,21.89,0.0,1,5,56,1014.67,96
2025-05-14 14:00:00,0.0,3.02,21.83,4,0.0,0000000000000000000000000000000000000000000000000,6,21.81,0.0,1,6,56,1014.4,101
2025-05-14 15:00:00,0.0,3.14,21.43,6,0.0,0000000000000000000000000000000000000000000000000,6,21.52,0.0,1,6,58,1014.16,99
2025-05-14 16:00:00,0.0,3.13,21.02,15,0.0,0000000000000000000000000000000000000000000000000,6,20.94,0.0,1,6,61,1013.91,96
2025-05-14 17:00:00,0.0,3.0,20.54,9,0.0,0000000000000000000000000000000000000000000000000,6,20.03,0.0,1,4,64,1013.67,92
2025-05-14 18:00:00,0.0,2.71,19.99,8,0.0,0000000000000000000000000000000000000000000000000,6,19.25,0.0,1,3,66,1013.69,91
2025-05-14 19:00:00,0.0,2.24,19.3,7,0.0,0000000000000000000000000000000000000000000000000,6,18.82,0.0,1,1,68,1013.72,85
